Trade_Time;open;high;low;close;VOL;VB;VS;Delta_Vol;OI;doi;yurl_l;dyl;yurl_s;dys;yurl_l_num;yurl_s_num;fiz_l;fyl;fiz_s;fys
2022-07-21 12:15:00;111320.0;111320.0;110600.0;110700.0;3323;1433;1890;-457;96806.0;-50.0;24021.0;-37.0;3309.0;-17.0;29.0;37.0;24382.0;12.0;45094.0;-8.0
2022-07-21 12:20:00;110700.0;110740.0;110220.0;110240.0;4331;2013;2318;-305;96534.0;-272.0;23692.0;-329.0;3373.0;64.0;29.0;38.0;24575.0;193.0;44894.0;-200.0
2022-07-21 12:25:00;110240.0;110240.0;109630.0;110000.0;4943;2357;2586;-229;97233.0;699.0;23962.0;270.0;3421.0;48.0;30.0;38.0;24651.0;76.0;45199.0;305.0
2022-07-21 12:30:00;110020.0;110020.0;109500.0;109820.0;3729;1829;1900;-71;97930.0;697.0;23945.0;-17.0;3460.0;39.0;31.0;37.0;25020.0;369.0;45505.0;306.0
2022-07-21 12:35:00;109820.0;109900.0;109520.0;109580.0;2460;1246;1214;32;98192.0;262.0;23949.0;4.0;3532.0;72.0;32.0;36.0;25147.0;127.0;45564.0;59.0
2022-07-21 12:40:00;109580.0;110150.0;109430.0;109940.0;3446;1875;1571;304;98464.0;272.0;23881.0;-68.0;3680.0;148.0;29.0;38.0;25351.0;204.0;45552.0;-12.0
2022-07-21 12:45:00;109920.0;110030.0;108560.0;108850.0;7019;2974;4045;-1071;98599.0;135.0;23395.0;-486.0;3797.0;117.0;29.0;37.0;25904.0;553.0;45503.0;-49.0
2022-07-21 12:50:00;108850.0;108980.0;108020.0;108740.0;7404;3514;3890;-376;98506.0;-93.0;23215.0;-180.0;4022.0;225.0;27.0;37.0;26038.0;134.0;45231.0;-272.0
2022-07-21 12:55:00;108760.0;108800.0;107650.0;108440.0;6935;3183;3752;-569;98272.0;-234.0;22494.0;-721.0;4249.0;227.0;29.0;37.0;26642.0;604.0;44887.0;-344.0
2022-07-21 13:00:00;108440.0;109340.0;108270.0;109000.0;5839;2612;3227;-615;98218.0;-54.0;21632.0;-862.0;4459.0;210.0;28.0;38.0;27477.0;835.0;44650.0;-237.0
2022-07-21 13:05:00;109060.0;109100.0;108630.0;108970.0;1981;1059;922;137;98512.0;294.0;21534.0;-98.0;4623.0;164.0;27.0;37.0;27722.0;245.0;44633.0;-17.0
2022-07-21 13:10:00;108990.0;108990.0;108630.0;108810.0;1368;758;610;148;98950.0;438.0;21523.0;-11.0;4785.0;162.0;28.0;38.0;27952.0;230.0;44690.0;57.0
2022-07-21 13:15:00;108820.0;109360.0;108330.0;109340.0;3826;2017;1809;208;98986.0;36.0;21543.0;20.0;4859.0;74.0;29.0;37.0;27950.0;-2.0;44634.0;-56.0
2022-07-21 13:20:00;109330.0;109650.0;109030.0;109170.0;4328;2217;2111;106;97866.0;-1120.0;21059.0;-484.0;4931.0;72.0;27.0;36.0;27874.0;-76.0;44002.0;-632.0
2022-07-21 13:25:00;109170.0;109550.0;109130.0;109490.0;1627;931;696;235;97818.0;-48.0;21074.0;15.0;5018.0;87.0;27.0;37.0;27835.0;-39.0;43891.0;-111.0
2022-07-21 13:30:00;109470.0;109980.0;109320.0;109360.0;2871;1443;1428;15;97614.0;-204.0;21215.0;141.0;5017.0;-1.0;27.0;36.0;27592.0;-243.0;43790.0;-101.0
2022-07-21 13:35:00;109400.0;109990.0;109200.0;109950.0;2010;1109;901;208;97384.0;-230.0;21134.0;-81.0;5075.0;58.0;23.0;41.0;27558.0;-34.0;43617.0;-173.0
2022-07-21 13:40:00;109910.0;110070.0;109230.0;109360.0;2701;1306;1395;-89;97104.0;-280.0;21137.0;3.0;5067.0;-8.0;25.0;38.0;27415.0;-143.0;43485.0;-132.0
2022-07-21 13:45:00;109400.0;109760.0;109300.0;109580.0;1224;648;576;72;97098.0;-6.0;21114.0;-23.0;5105.0;38.0;26.0;37.0;27435.0;20.0;43444.0;-41.0
2022-07-21 13:50:00;109590.0;109590.0;108540.0;109070.0;2701;1142;1559;-417;97322.0;224.0;21226.0;112.0;5136.0;31.0;25.0;37.0;27435.0;0.0;43525.0;81.0
2022-07-21 13:55:00;109070.0;109270.0;108800.0;109170.0;1483;628;855;-227;97540.0;218.0;21253.0;27.0;5150.0;14.0;27.0;36.0;27517.0;82.0;43620.0;95.0
2022-07-21 14:05:00;109070.0;109660.0;109050.0;109590.0;1353;869;484;385;98038.0;498.0;21282.0;29.0;5187.0;37.0;27.0;36.0;27737.0;220.0;43832.0;212.0
2022-07-21 14:10:00;109580.0;109620.0;109310.0;109350.0;1518;632;886;-254;98594.0;556.0;21313.0;31.0;5266.0;79.0;25.0;36.0;27984.0;247.0;44031.0;199.0
2022-07-21 14:15:00;109360.0;109840.0;109250.0;109820.0;1088;615;473;142;98690.0;96.0;21316.0;3.0;5333.0;67.0;23.0;37.0;28029.0;45.0;44012.0;-19.0
2022-07-21 14:20:00;109820.0;109860.0;109370.0;109370.0;1007;445;562;-117;98776.0;86.0;21339.0;23.0;5432.0;99.0;25.0;36.0;28049.0;20.0;43956.0;-56.0
2022-07-21 14:25:00;109410.0;109410.0;108830.0;109090.0;1815;699;1116;-417;99320.0;544.0;21424.0;85.0;5535.0;103.0;25.0;36.0;28236.0;187.0;44125.0;169.0
2022-07-21 14:30:00;109050.0;109450.0;109020.0;109090.0;1187;694;493;201;99228.0;-92.0;21491.0;67.0;5582.0;47.0;26.0;37.0;28123.0;-113.0;44032.0;-93.0
2022-07-21 14:35:00;109090.0;109140.0;108520.0;108660.0;2217;881;1336;-455;99610.0;382.0;21705.0;214.0;5557.0;-25.0;25.0;37.0;28099.0;-24.0;44249.0;217.0
2022-07-21 14:40:00;108630.0;109040.0;108510.0;108970.0;1364;833;531;302;99692.0;82.0;21662.0;-43.0;5570.0;13.0;25.0;37.0;28184.0;85.0;44276.0;27.0
2022-07-21 14:45:00;108970.0;109050.0;108710.0;108710.0;592;242;350;-108;99916.0;224.0;21729.0;67.0;5556.0;-14.0;27.0;35.0;28229.0;45.0;44402.0;126.0
2022-07-21 14:50:00;108700.0;108810.0;108310.0;108720.0;1559;674;885;-211;100138.0;222.0;21814.0;85.0;5545.0;-11.0;27.0;35.0;28255.0;26.0;44524.0;122.0
